K,lr,weight_decay,hidden_channels,heads,val_loss,val_avg_distance,test_avg_distance
8,0.001,1e-05,64,2,0.000682289304677397,0.33170053362846375,1.5655392
8,0.001,0.0001,128,1,0.0011784739326685667,0.44540396332740784,1.5769268
8,0.001,0.0005,128,1,0.0015633272705599666,0.4998587965965271,1.591111
5,0.001,5e-05,64,2,0.0006993404822424054,0.3401367962360382,1.5962088
6,0.001,1e-05,128,1,0.0006958846934139729,0.32238322496414185,1.5978507
6,0.001,5e-05,128,1,0.0008460721583105624,0.35807979106903076,1.6052371
8,0.001,5e-05,128,1,0.0007895055459812284,0.36150887608528137,1.6226822
7,0.005,5e-05,128,1,0.0007086520199663937,0.33533990383148193,1.6300528
7,0.001,1e-05,128,1,0.0007906702812761068,0.352876752614975,1.6304082
8,0.001,1e-05,128,1,0.0004802001058124006,0.28335559368133545,1.6371226
5,0.01,1e-05,64,1,0.0006896465783938766,0.33250877261161804,1.6444204
6,0.005,1e-05,64,1,0.0006969221285544336,0.3342113196849823,1.6589017
5,0.01,5e-05,32,1,0.0007307959022000432,0.33622312545776367,1.6605457
8,0.001,5e-05,64,2,0.00057208351790905,0.3036811351776123,1.664006
5,0.005,0.0005,64,3,0.0020729643292725086,0.5270258784294128,1.670131
8,0.001,0.0001,128,3,0.0010474449954926968,0.3954117000102997,1.6706549
5,0.001,0.0001,64,3,0.0011929773027077317,0.41924795508384705,1.7020626
8,0.005,0.0001,32,1,0.0007151004974730313,0.33963826298713684,1.7086456
6,0.001,0.0001,64,3,0.0009189612464979291,0.36722078919410706,1.7090278
8,0.001,0.0005,64,3,0.0014636191772297025,0.4750671982765198,1.719589
7,0.001,0.0005,128,2,0.0013456615852192044,0.45374611020088196,1.7205598
7,0.001,1e-05,64,3,0.0007381869363598526,0.33991098403930664,1.7247403
8,0.01,1e-05,32,1,0.000591989723034203,0.30526021122932434,1.7415903
8,0.005,5e-05,64,2,0.0006601640488952398,0.32850608229637146,1.7491987
5,0.001,1e-05,64,2,0.0006074295961298048,0.3183516561985016,1.7638714
6,0.001,0.0005,128,2,0.0012152346316725016,0.4311302900314331,1.7699462
6,0.001,0.0005,64,3,0.0013883091742172837,0.4469597041606903,1.782416
5,0.01,0.0005,32,3,0.0011396564077585936,0.4099934697151184,1.797898
5,0.005,1e-05,32,3,0.0006659259088337421,0.32569944858551025,1.8041661
5,0.01,0.0005,32,2,0.002100392710417509,0.5662053227424622,1.812761
7,0.001,0.0001,128,3,0.0011995633831247687,0.44298067688941956,1.8336548
8,0.005,0.0005,32,2,0.0012274319306015968,0.42189261317253113,1.8463528
7,0.005,1e-05,64,1,0.000667997112032026,0.32779645919799805,1.8610328
7,0.005,5e-05,32,2,0.000969975721091032,0.39952802658081055,1.8678275
6,0.005,5e-05,64,1,0.0006895640981383622,0.3217092752456665,1.879252
6,0.001,0.0001,128,1,0.0007413875428028405,0.3373854160308838,1.8825116
8,0.005,0.0001,128,3,0.0009637156035751104,0.3925686776638031,1.884063
6,0.01,1e-05,32,2,0.0006067028152756393,0.3163919150829315,1.9162755
5,0.005,5e-05,32,2,0.0006324024288915098,0.3210034668445587,1.9163306
6,0.01,1e-05,64,1,0.0006148951360955834,0.31343895196914673,1.9181535
8,0.005,1e-05,32,1,0.0007159150554798543,0.3421434462070465,1.9211835
