K,lr,weight_decay,hidden_channels,heads,val_loss,val_avg_distance,test_avg_distance
7,0.01,1e-05,32,1,0.001332441926933825,0.4407278895378113,0.44816523790359497
7,0.001,5e-05,32,3,0.0012533983681350946,0.4409117102622986,0.4362819790840149
7,0.001,5e-05,32,2,0.0012602744391188025,0.4410387873649597,0.4155852198600769
5,0.001,0.0001,32,2,0.0012894034152850509,0.44138240814208984,0.46284598112106323
6,0.005,1e-05,64,2,0.0012914134422317147,0.44138970971107483,0.41971492767333984
5,0.001,0.0001,128,2,0.0012938876170665026,0.44189900159835815,0.4495072066783905
5,0.01,0.0001,64,2,0.00130018952768296,0.4419459104537964,0.5117015242576599
7,0.001,1e-05,32,1,0.0013045606901869178,0.4424965977668762,0.39413735270500183
8,0.01,5e-05,64,1,0.0012891455553472042,0.44320252537727356,0.4800518751144409
8,0.001,0.0001,128,3,0.0012800948461517692,0.44348451495170593,0.4514065980911255
6,0.005,0.0001,32,1,0.0012940523447468877,0.4434862434864044,0.41225704550743103
5,0.001,5e-05,32,1,0.0012964591151103377,0.44389405846595764,0.4575997292995453
5,0.001,0.0001,32,3,0.0013338018907234073,0.44410398602485657,0.48239627480506897
6,0.01,5e-05,64,1,0.0013340397272258997,0.4445728063583374,0.4360727369785309
5,0.001,1e-05,32,2,0.0012823931174352765,0.4449257254600525,0.4716605246067047
5,0.001,0.0001,128,3,0.0013122702948749065,0.4453108012676239,0.5083993077278137
8,0.005,0.0005,32,1,0.0012851643841713667,0.44585928320884705,0.44251197576522827
7,0.001,0.0001,32,2,0.0013182276161387563,0.44609335064888,0.4526503384113312
5,0.001,0.0001,64,1,0.0013304345775395632,0.4466295540332794,0.47283318638801575
5,0.005,0.0001,64,3,0.0013035236625000834,0.44672152400016785,0.49576762318611145
5,0.005,0.0005,64,2,0.0012916885316371918,0.44681206345558167,0.5085532665252686
5,0.01,0.0001,32,1,0.0013088014675304294,0.4472222328186035,0.4369027018547058
5,0.001,1e-05,32,3,0.0013275229139253497,0.44729262590408325,0.46487924456596375
5,0.001,0.0001,32,1,0.001344604417681694,0.4473104476928711,0.454361230134964
7,0.001,0.0005,64,3,0.0014128885231912136,0.44817137718200684,0.47157663106918335
8,0.001,5e-05,128,3,0.0012866336619481444,0.448193222284317,0.42807117104530334
6,0.005,1e-05,32,1,0.0012853662483394146,0.4482639729976654,0.42669978737831116
5,0.01,1e-05,32,3,0.0012823038268834352,0.44845059514045715,0.7922764420509338
6,0.001,0.0001,32,1,0.001349523663520813,0.4491254687309265,0.41828036308288574
8,0.01,5e-05,64,3,0.001372191240079701,0.4492605924606323,0.42453068494796753
6,0.01,5e-05,64,2,0.0012890947982668877,0.4493911862373352,0.5314021706581116
5,0.001,5e-05,64,1,0.0013592548202723265,0.4497903883457184,0.4718320369720459
8,0.01,5e-05,128,2,0.0013034461298957467,0.4514004588127136,0.42966845631599426
7,0.005,0.0001,32,2,0.0012479114811867476,0.45158129930496216,0.46553531289100647
6,0.005,0.0001,128,2,0.001329688006080687,0.4517323970794678,0.4243500232696533
7,0.001,5e-05,64,1,0.00135168491397053,0.45228293538093567,0.42773085832595825
5,0.001,1e-05,32,1,0.0013242056593298912,0.45237109065055847,0.4620647132396698
7,0.005,0.0005,32,1,0.0014877236681059003,0.45383113622665405,0.49316728115081787
6,0.01,5e-05,128,1,0.0012752090115100145,0.45428943634033203,0.4570523202419281
6,0.005,0.0001,128,1,0.0014639354776591063,0.45446860790252686,0.5128836035728455
7,0.001,1e-05,64,1,0.0013806200586259365,0.4549493193626404,0.4419653117656708
7,0.01,5e-05,32,2,0.0014266063226386905,0.45537644624710083,0.6832066178321838
8,0.01,0.0001,64,1,0.0013842991320416331,0.45544081926345825,0.4199954569339752
5,0.005,0.0005,128,2,0.0013446415541693568,0.45611220598220825,0.5585384368896484
5,0.001,5e-05,32,3,0.001397399348206818,0.4562937021255493,0.47415977716445923
8,0.01,5e-05,32,2,0.0013569343136623502,0.45642924308776855,0.591708779335022
6,0.01,1e-05,32,3,0.0012779510580003262,0.45653679966926575,0.6717838644981384
5,0.01,1e-05,32,2,0.0013563930988311768,0.4570876657962799,0.4796086549758911
7,0.01,5e-05,128,2,0.0013659032993018627,0.4589270353317261,0.6014842987060547
8,0.005,0.0001,128,1,0.0013805534690618515,0.46066948771476746,0.47817370295524597
8,0.005,5e-05,128,3,0.0013697055401280522,0.46205848455429077,0.5054810643196106
6,0.001,5e-05,64,3,0.0015193445142358541,0.46335339546203613,0.4111621081829071
6,0.005,0.0001,32,3,0.0014035268686711788,0.4638376832008362,0.45172449946403503
8,0.005,5e-05,64,2,0.0013658020179718733,0.4643661081790924,0.5137310028076172
7,0.01,0.0001,32,2,0.00151360675226897,0.46520760655403137,0.44795718789100647
6,0.005,5e-05,32,1,0.0013278615660965443,0.46560922265052795,0.4255761206150055
7,0.01,1e-05,32,2,0.0014685520436614752,0.4658803641796112,0.6684861183166504
7,0.01,0.0001,128,2,0.0016273229848593473,0.4660522937774658,0.5251914262771606
6,0.01,5e-05,128,2,0.0014297094894573092,0.46629512310028076,0.46438068151474
8,0.001,1e-05,32,3,0.0014671519165858626,0.466609925031662,0.4368571639060974
8,0.01,0.0001,32,2,0.0014391901204362512,0.46678340435028076,0.4924011826515198
7,0.001,0.0005,128,3,0.001494962489232421,0.4668780267238617,0.47107189893722534
