K,lr,weight_decay,hidden_channels,heads,val_avg_distance,test_avg_distance
8,0.005,5e-05,64,1,0.3763693571090698,0.5429061055183411
7,0.01,0.0005,64,2,0.41165679693222046,0.5429147481918335
6,0.01,5e-05,32,1,0.40352851152420044,0.543193519115448
7,0.005,0.0001,32,2,0.3702966570854187,0.5432686805725098
7,0.001,5e-05,64,1,0.3788936138153076,0.5434404611587524
6,0.01,5e-05,32,2,0.3726571202278137,0.5434576272964478
8,0.01,0.0001,128,1,0.357199490070343,0.5435036420822144
8,0.001,5e-05,64,1,0.3558676838874817,0.5436626672744751
6,0.001,1e-05,32,2,0.40742066502571106,0.544184148311615
7,0.001,0.0001,32,1,0.39533111453056335,0.544235110282898
6,0.01,0.0001,32,1,0.407362163066864,0.5447199940681458
5,0.001,0.0005,32,3,0.4263176918029785,0.5447580218315125
8,0.001,0.0001,64,1,0.3601682484149933,0.5448315739631653
6,0.01,5e-05,64,1,0.3760705590248108,0.5456397533416748
6,0.001,0.0001,32,1,0.4142420291900635,0.5461211204528809
8,0.005,0.0001,32,1,0.36705073714256287,0.5461782813072205
8,0.005,5e-05,64,2,0.37431928515434265,0.5462823510169983
8,0.005,5e-05,32,2,0.33640897274017334,0.5465725064277649
5,0.01,5e-05,32,2,0.38482901453971863,0.5468555688858032
7,0.005,0.0001,32,3,0.3590654134750366,0.547288179397583
7,0.01,1e-05,32,3,0.3845288157463074,0.5474538803100586
7,0.005,5e-05,32,3,0.368269145488739,0.547489583492279
8,0.01,5e-05,64,1,0.370827853679657,0.5477356314659119
5,0.01,0.0005,64,1,0.42735153436660767,0.5478549003601074
7,0.01,0.0005,32,2,0.3815828859806061,0.5482017397880554
6,0.005,0.0005,32,2,0.4034431576728821,0.5483478903770447
8,0.005,0.0001,64,1,0.37743186950683594,0.5483766794204712
7,0.005,1e-05,128,2,0.3327596187591553,0.5484163165092468
5,0.001,1e-05,128,3,0.41420525312423706,0.5487142205238342
7,0.01,1e-05,64,2,0.3328852951526642,0.5492492318153381
8,0.005,5e-05,128,3,0.3485061824321747,0.5493385195732117
8,0.005,5e-05,128,1,0.37105903029441833,0.5494257807731628
5,0.001,1e-05,64,1,0.4035762548446655,0.5495402812957764
5,0.001,1e-05,64,3,0.38452234864234924,0.5504962801933289
5,0.005,0.0001,32,2,0.38369160890579224,0.5507291555404663
7,0.01,5e-05,32,2,0.34517520666122437,0.5510336756706238
5,0.01,0.0001,32,2,0.3929988741874695,0.5512632131576538
6,0.005,5e-05,64,2,0.3966822922229767,0.551343560218811
