lr,weight_decay,hidden_channels,dropout,val_loss,val_avg_distance,test_avg_distance
0.005,5e-05,32,0.3,0.0025955410674214363,0.6486243605613708,0.6218463
0.01,1e-05,64,0.2,0.0020990686025470495,0.586043119430542,0.6229433
0.001,1e-05,128,0.2,0.002317252801731229,0.6156539916992188,0.62819326
0.001,5e-05,32,0.2,0.0029004099778831005,0.6729652881622314,0.628322
0.001,0.0005,128,0.3,0.002420860342681408,0.630194902420044,0.6297675
0.001,1e-05,32,0.2,0.00294313533231616,0.6679753065109253,0.63604647
0.001,0.0005,32,0.2,0.0029137632809579372,0.6763178110122681,0.6450487
0.01,5e-05,32,0.3,0.0027544936165213585,0.6729115843772888,0.6483008
0.01,0.0001,32,0.3,0.002648911438882351,0.6419501304626465,0.6560448
0.005,1e-05,32,0.3,0.0027574775740504265,0.6597253084182739,0.66929626
0.01,5e-05,64,0.3,0.0026066259015351534,0.6490000486373901,0.6735062
0.001,0.0005,32,0.3,0.0041969167068600655,0.8175954818725586,0.7480198
0.001,0.0001,32,0.3,0.004305229056626558,0.8293565511703491,0.76557946
0.001,0.0001,128,0.3,0.0030299853533506393,0.703543484210968,0.7674478
0.001,1e-05,32,0.3,0.004244702402502298,0.8181428909301758,0.7695767
0.001,5e-05,128,0.3,0.0029986435547471046,0.700002133846283,0.779402
0.001,5e-05,32,0.3,0.004411489237099886,0.8382493257522583,0.7893411
0.001,1e-05,128,0.3,0.003054446540772915,0.7066739797592163,0.8061015
